---> Starting with dimension 16  and correlation 0 
Run: 2 out of 10  -  2025-06-11 09:51:51.181098 with b: 0.526 
Run: 3 out of 10  -  2025-06-11 09:51:51.181628 with b: 0.526 
Run: 4 out of 10  -  2025-06-11 09:51:51.18212 with b: 0.526 
Run: 5 out of 10  -  2025-06-11 09:51:51.182617 with b: 0.526 
Run: 6 out of 10  -  2025-06-11 09:51:51.183081 with b: 0.526 
Run: 7 out of 10  -  2025-06-11 09:51:51.183554 with b: 0.526 
Run: 8 out of 10  -  2025-06-11 09:51:51.184052 with b: 0.526 
Run: 9 out of 10  -  2025-06-11 09:51:51.184533 with b: 0.526 
Run: 10 out of 10  -  2025-06-11 09:51:51.184993 with b: 0.526 

 13 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.185482 with b: 0.737 
Run: 2 out of 10  -  2025-06-11 09:51:51.185957 with b: 0.737 
Run: 3 out of 10  -  2025-06-11 09:51:51.186448 with b: 0.737 
Run: 4 out of 10  -  2025-06-11 09:51:51.186935 with b: 0.737 
Run: 5 out of 10  -  2025-06-11 09:51:51.187415 with b: 0.737 
Run: 6 out of 10  -  2025-06-11 09:51:51.187919 with b: 0.737 
Run: 7 out of 10  -  2025-06-11 09:51:51.188396 with b: 0.737 
Run: 8 out of 10  -  2025-06-11 09:51:51.188879 with b: 0.737 
Run: 9 out of 10  -  2025-06-11 09:51:51.193882 with b: 0.737 
Run: 10 out of 10  -  2025-06-11 09:51:51.194408 with b: 0.737 

 14 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.194858 with b: 0.947 
Run: 2 out of 10  -  2025-06-11 09:51:51.19523 with b: 0.947 
Run: 3 out of 10  -  2025-06-11 09:51:51.195602 with b: 0.947 
Run: 4 out of 10  -  2025-06-11 09:51:51.195999 with b: 0.947 
Run: 5 out of 10  -  2025-06-11 09:51:51.196369 with b: 0.947 
Run: 6 out of 10  -  2025-06-11 09:51:51.196766 with b: 0.947 
Run: 7 out of 10  -  2025-06-11 09:51:51.197142 with b: 0.947 
Run: 8 out of 10  -  2025-06-11 09:51:51.197516 with b: 0.947 
Run: 9 out of 10  -  2025-06-11 09:51:51.197892 with b: 0.947 
Run: 10 out of 10  -  2025-06-11 09:51:51.198256 with b: 0.947 

 15 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.198642 with b: 1.158 
Run: 2 out of 10  -  2025-06-11 09:51:51.199001 with b: 1.158 
Run: 3 out of 10  -  2025-06-11 09:51:51.199373 with b: 1.158 
Run: 4 out of 10  -  2025-06-11 09:51:51.199747 with b: 1.158 
Run: 5 out of 10  -  2025-06-11 09:51:51.200094 with b: 1.158 
Run: 6 out of 10  -  2025-06-11 09:51:51.200468 with b: 1.158 
Run: 7 out of 10  -  2025-06-11 09:51:51.200824 with b: 1.158 
Run: 8 out of 10  -  2025-06-11 09:51:51.201191 with b: 1.158 
Run: 9 out of 10  -  2025-06-11 09:51:51.201555 with b: 1.158 
Run: 10 out of 10  -  2025-06-11 09:51:51.20193 with b: 1.158 

 16 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.2023 with b: 1.368 
Run: 2 out of 10  -  2025-06-11 09:51:51.202678 with b: 1.368 
Run: 3 out of 10  -  2025-06-11 09:51:51.203034 with b: 1.368 
Run: 4 out of 10  -  2025-06-11 09:51:51.203419 with b: 1.368 
Run: 5 out of 10  -  2025-06-11 09:51:51.203817 with b: 1.368 
Run: 6 out of 10  -  2025-06-11 09:51:51.204197 with b: 1.368 
Run: 7 out of 10  -  2025-06-11 09:51:51.204586 with b: 1.368 
Run: 8 out of 10  -  2025-06-11 09:51:51.204982 with b: 1.368 
Run: 9 out of 10  -  2025-06-11 09:51:51.205362 with b: 1.368 
Run: 10 out of 10  -  2025-06-11 09:51:51.205747 with b: 1.368 

 17 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.20613 with b: 1.579 
Run: 2 out of 10  -  2025-06-11 09:51:51.206506 with b: 1.579 
Run: 3 out of 10  -  2025-06-11 09:51:51.206876 with b: 1.579 
Run: 4 out of 10  -  2025-06-11 09:51:51.207257 with b: 1.579 
Run: 5 out of 10  -  2025-06-11 09:51:51.20763 with b: 1.579 
Run: 6 out of 10  -  2025-06-11 09:51:51.208003 with b: 1.579 
Run: 7 out of 10  -  2025-06-11 09:51:51.208361 with b: 1.579 
Run: 8 out of 10  -  2025-06-11 09:51:51.208725 with b: 1.579 
Run: 9 out of 10  -  2025-06-11 09:51:51.209093 with b: 1.579 
Run: 10 out of 10  -  2025-06-11 09:51:51.209462 with b: 1.579 

 18 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.209841 with b: 1.789 
Run: 2 out of 10  -  2025-06-11 09:51:51.210206 with b: 1.789 
Run: 3 out of 10  -  2025-06-11 09:51:51.210596 with b: 1.789 
Run: 4 out of 10  -  2025-06-11 09:51:51.210971 with b: 1.789 
Run: 5 out of 10  -  2025-06-11 09:51:51.211342 with b: 1.789 
Run: 6 out of 10  -  2025-06-11 09:51:51.211728 with b: 1.789 
Run: 7 out of 10  -  2025-06-11 09:51:51.212095 with b: 1.789 
Run: 8 out of 10  -  2025-06-11 09:51:51.212457 with b: 1.789 
Run: 9 out of 10  -  2025-06-11 09:51:51.21281 with b: 1.789 
Run: 10 out of 10  -  2025-06-11 09:51:51.213188 with b: 1.789 

 19 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.213577 with b: 2 
Run: 2 out of 10  -  2025-06-11 09:51:51.21395 with b: 2 
Run: 3 out of 10  -  2025-06-11 09:51:51.214336 with b: 2 
Run: 4 out of 10  -  2025-06-11 09:51:51.214723 with b: 2 
Run: 5 out of 10  -  2025-06-11 09:51:51.215101 with b: 2 
Run: 6 out of 10  -  2025-06-11 09:51:51.215465 with b: 2 
Run: 7 out of 10  -  2025-06-11 09:51:51.215824 with b: 2 
Run: 8 out of 10  -  2025-06-11 09:51:51.216197 with b: 2 
Run: 9 out of 10  -  2025-06-11 09:51:51.21656 with b: 2 
Run: 10 out of 10  -  2025-06-11 09:51:51.216937 with b: 2 

 20 / 20 
---> Finished with dimension 16  and correlation 0 
---> Starting with dimension 64  and correlation 0 
Run: 1 out of 10  -  2025-06-11 09:51:51.21763 with b: -2 
Run: 2 out of 10  -  2025-06-11 09:51:51.221114 with b: -2 
Run: 3 out of 10  -  2025-06-11 09:51:51.225738 with b: -2 
Run: 4 out of 10  -  2025-06-11 09:51:51.230316 with b: -2 
Run: 5 out of 10  -  2025-06-11 09:51:51.234874 with b: -2 
Run: 6 out of 10  -  2025-06-11 09:51:51.257383 with b: -2 
Run: 7 out of 10  -  2025-06-11 09:51:51.265236 with b: -2 
Run: 8 out of 10  -  2025-06-11 09:51:51.280049 with b: -2 
Run: 9 out of 10  -  2025-06-11 09:51:51.291934 with b: -2 
Run: 10 out of 10  -  2025-06-11 09:51:51.29948 with b: -2 

 1 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.305805 with b: -1.789 
Run: 2 out of 10  -  2025-06-11 09:51:51.311275 with b: -1.789 
Run: 3 out of 10  -  2025-06-11 09:51:51.318058 with b: -1.789 
Run: 4 out of 10  -  2025-06-11 09:51:51.324961 with b: -1.789 
Run: 5 out of 10  -  2025-06-11 09:51:51.33146 with b: -1.789 
Run: 6 out of 10  -  2025-06-11 09:51:51.334962 with b: -1.789 
Run: 7 out of 10  -  2025-06-11 09:51:51.338187 with b: -1.789 
Run: 8 out of 10  -  2025-06-11 09:51:51.340102 with b: -1.789 
Run: 9 out of 10  -  2025-06-11 09:51:51.341967 with b: -1.789 
Run: 10 out of 10  -  2025-06-11 09:51:51.343919 with b: -1.789 

 2 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.345809 with b: -1.579 
Run: 2 out of 10  -  2025-06-11 09:51:51.34761 with b: -1.579 
Run: 3 out of 10  -  2025-06-11 09:51:51.349412 with b: -1.579 
Run: 4 out of 10  -  2025-06-11 09:51:51.351207 with b: -1.579 
Run: 5 out of 10  -  2025-06-11 09:51:51.353028 with b: -1.579 
Run: 6 out of 10  -  2025-06-11 09:51:51.354843 with b: -1.579 
Run: 7 out of 10  -  2025-06-11 09:51:51.356667 with b: -1.579 
Run: 8 out of 10  -  2025-06-11 09:51:51.358478 with b: -1.579 
Run: 9 out of 10  -  2025-06-11 09:51:51.360309 with b: -1.579 
Run: 10 out of 10  -  2025-06-11 09:51:51.362127 with b: -1.579 

 3 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.363935 with b: -1.368 
Run: 2 out of 10  -  2025-06-11 09:51:51.365743 with b: -1.368 
Run: 3 out of 10  -  2025-06-11 09:51:51.367537 with b: -1.368 
Run: 4 out of 10  -  2025-06-11 09:51:51.369329 with b: -1.368 
Run: 5 out of 10  -  2025-06-11 09:51:51.371105 with b: -1.368 
Run: 6 out of 10  -  2025-06-11 09:51:51.372911 with b: -1.368 
Run: 7 out of 10  -  2025-06-11 09:51:51.374695 with b: -1.368 
Run: 8 out of 10  -  2025-06-11 09:51:51.376474 with b: -1.368 
Run: 9 out of 10  -  2025-06-11 09:51:51.378308 with b: -1.368 
Run: 10 out of 10  -  2025-06-11 09:51:51.380116 with b: -1.368 

 4 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.381917 with b: -1.158 
Run: 2 out of 10  -  2025-06-11 09:51:51.383687 with b: -1.158 
Run: 3 out of 10  -  2025-06-11 09:51:51.385446 with b: -1.158 
Run: 4 out of 10  -  2025-06-11 09:51:51.387233 with b: -1.158 
Run: 5 out of 10  -  2025-06-11 09:51:51.388995 with b: -1.158 
Run: 6 out of 10  -  2025-06-11 09:51:51.390783 with b: -1.158 
Run: 7 out of 10  -  2025-06-11 09:51:51.392568 with b: -1.158 
Run: 8 out of 10  -  2025-06-11 09:51:51.394358 with b: -1.158 
Run: 9 out of 10  -  2025-06-11 09:51:51.396142 with b: -1.158 
Run: 10 out of 10  -  2025-06-11 09:51:51.397925 with b: -1.158 

 5 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.399698 with b: -0.947 
Run: 2 out of 10  -  2025-06-11 09:51:51.401461 with b: -0.947 
Run: 3 out of 10  -  2025-06-11 09:51:51.403245 with b: -0.947 
Run: 4 out of 10  -  2025-06-11 09:51:51.405058 with b: -0.947 
Run: 5 out of 10  -  2025-06-11 09:51:51.406852 with b: -0.947 
Run: 6 out of 10  -  2025-06-11 09:51:51.408616 with b: -0.947 
Run: 7 out of 10  -  2025-06-11 09:51:51.410409 with b: -0.947 
Run: 8 out of 10  -  2025-06-11 09:51:51.412183 with b: -0.947 
Run: 9 out of 10  -  2025-06-11 09:51:51.413964 with b: -0.947 
Run: 10 out of 10  -  2025-06-11 09:51:51.415752 with b: -0.947 

 6 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.417547 with b: -0.737 
Run: 2 out of 10  -  2025-06-11 09:51:51.419318 with b: -0.737 
Run: 3 out of 10  -  2025-06-11 09:51:51.421104 with b: -0.737 
Run: 4 out of 10  -  2025-06-11 09:51:51.422901 with b: -0.737 
Run: 5 out of 10  -  2025-06-11 09:51:51.424691 with b: -0.737 
Run: 6 out of 10  -  2025-06-11 09:51:51.426476 with b: -0.737 
Run: 7 out of 10  -  2025-06-11 09:51:51.428269 with b: -0.737 
Run: 8 out of 10  -  2025-06-11 09:51:51.430058 with b: -0.737 
Run: 9 out of 10  -  2025-06-11 09:51:51.431844 with b: -0.737 
Run: 10 out of 10  -  2025-06-11 09:51:51.433616 with b: -0.737 

 7 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.43543 with b: -0.526 
Run: 2 out of 10  -  2025-06-11 09:51:51.442122 with b: -0.526 
Run: 3 out of 10  -  2025-06-11 09:51:51.444058 with b: -0.526 
Run: 4 out of 10  -  2025-06-11 09:51:51.445915 with b: -0.526 
Run: 5 out of 10  -  2025-06-11 09:51:51.447688 with b: -0.526 
Run: 6 out of 10  -  2025-06-11 09:51:51.449458 with b: -0.526 
Run: 7 out of 10  -  2025-06-11 09:51:51.451197 with b: -0.526 
Run: 8 out of 10  -  2025-06-11 09:51:51.452945 with b: -0.526 
Run: 9 out of 10  -  2025-06-11 09:51:51.454686 with b: -0.526 
Run: 10 out of 10  -  2025-06-11 09:51:51.456437 with b: -0.526 

 8 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.458237 with b: -0.316 
Run: 2 out of 10  -  2025-06-11 09:51:51.459995 with b: -0.316 
Run: 3 out of 10  -  2025-06-11 09:51:51.461735 with b: -0.316 
