---> Starting with dimension 16  and correlation 0 

 10 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:35.579539 with b: 0.105 
Run: 2 out of 10  -  2025-06-11 14:38:35.580133 with b: 0.105 
Run: 3 out of 10  -  2025-06-11 14:38:35.580749 with b: 0.105 
Run: 4 out of 10  -  2025-06-11 14:38:35.581323 with b: 0.105 
Run: 5 out of 10  -  2025-06-11 14:38:35.581916 with b: 0.105 
Run: 6 out of 10  -  2025-06-11 14:38:35.582499 with b: 0.105 
Run: 7 out of 10  -  2025-06-11 14:38:35.583066 with b: 0.105 
Run: 8 out of 10  -  2025-06-11 14:38:35.583676 with b: 0.105 
Run: 9 out of 10  -  2025-06-11 14:38:35.584271 with b: 0.105 
Run: 10 out of 10  -  2025-06-11 14:38:35.584837 with b: 0.105 

 11 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:35.585384 with b: 0.316 
Run: 2 out of 10  -  2025-06-11 14:38:35.585935 with b: 0.316 
Run: 3 out of 10  -  2025-06-11 14:38:35.586473 with b: 0.316 
Run: 4 out of 10  -  2025-06-11 14:38:35.587022 with b: 0.316 
Run: 5 out of 10  -  2025-06-11 14:38:35.587551 with b: 0.316 
Run: 6 out of 10  -  2025-06-11 14:38:35.588096 with b: 0.316 
Run: 7 out of 10  -  2025-06-11 14:38:35.58863 with b: 0.316 
Run: 8 out of 10  -  2025-06-11 14:38:35.589168 with b: 0.316 
Run: 9 out of 10  -  2025-06-11 14:38:35.589712 with b: 0.316 
Run: 10 out of 10  -  2025-06-11 14:38:35.590263 with b: 0.316 

 12 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:35.590817 with b: 0.526 
Run: 2 out of 10  -  2025-06-11 14:38:35.591378 with b: 0.526 
Run: 3 out of 10  -  2025-06-11 14:38:35.591921 with b: 0.526 
Run: 4 out of 10  -  2025-06-11 14:38:35.592478 with b: 0.526 
Run: 5 out of 10  -  2025-06-11 14:38:35.593014 with b: 0.526 
Run: 6 out of 10  -  2025-06-11 14:38:35.593574 with b: 0.526 
Run: 7 out of 10  -  2025-06-11 14:38:35.594099 with b: 0.526 
Run: 8 out of 10  -  2025-06-11 14:38:35.594679 with b: 0.526 
Run: 9 out of 10  -  2025-06-11 14:38:35.595207 with b: 0.526 
Run: 10 out of 10  -  2025-06-11 14:38:35.595767 with b: 0.526 

 13 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:35.596348 with b: 0.737 
Run: 2 out of 10  -  2025-06-11 14:38:35.596913 with b: 0.737 
Run: 3 out of 10  -  2025-06-11 14:38:35.681313 with b: 0.737 
Run: 4 out of 10  -  2025-06-11 14:38:35.6833 with b: 0.737 
Run: 5 out of 10  -  2025-06-11 14:38:35.684987 with b: 0.737 
Run: 6 out of 10  -  2025-06-11 14:38:35.686536 with b: 0.737 
Run: 7 out of 10  -  2025-06-11 14:38:35.688098 with b: 0.737 
Run: 8 out of 10  -  2025-06-11 14:38:35.689211 with b: 0.737 
Run: 9 out of 10  -  2025-06-11 14:38:35.690033 with b: 0.737 
Run: 10 out of 10  -  2025-06-11 14:38:35.690874 with b: 0.737 

 14 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:35.691719 with b: 0.947 
Run: 2 out of 10  -  2025-06-11 14:38:35.69256 with b: 0.947 
Run: 3 out of 10  -  2025-06-11 14:38:35.693377 with b: 0.947 
Run: 4 out of 10  -  2025-06-11 14:38:35.69421 with b: 0.947 
Run: 5 out of 10  -  2025-06-11 14:38:35.69505 with b: 0.947 
Run: 6 out of 10  -  2025-06-11 14:38:35.695873 with b: 0.947 
Run: 7 out of 10  -  2025-06-11 14:38:35.696709 with b: 0.947 
Run: 8 out of 10  -  2025-06-11 14:38:35.697557 with b: 0.947 
Run: 9 out of 10  -  2025-06-11 14:38:35.698392 with b: 0.947 
Run: 10 out of 10  -  2025-06-11 14:38:35.699242 with b: 0.947 

 15 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:35.700082 with b: 1.158 
Run: 2 out of 10  -  2025-06-11 14:38:35.700965 with b: 1.158 
Run: 3 out of 10  -  2025-06-11 14:38:35.701789 with b: 1.158 
Run: 4 out of 10  -  2025-06-11 14:38:35.702615 with b: 1.158 
Run: 5 out of 10  -  2025-06-11 14:38:35.703439 with b: 1.158 
Run: 6 out of 10  -  2025-06-11 14:38:35.704263 with b: 1.158 
Run: 7 out of 10  -  2025-06-11 14:38:35.705089 with b: 1.158 
Run: 8 out of 10  -  2025-06-11 14:38:35.705914 with b: 1.158 
Run: 9 out of 10  -  2025-06-11 14:38:35.70676 with b: 1.158 
Run: 10 out of 10  -  2025-06-11 14:38:35.707599 with b: 1.158 

 16 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:35.708439 with b: 1.368 
Run: 2 out of 10  -  2025-06-11 14:38:35.709265 with b: 1.368 
Run: 3 out of 10  -  2025-06-11 14:38:35.710089 with b: 1.368 
Run: 4 out of 10  -  2025-06-11 14:38:35.710938 with b: 1.368 
Run: 5 out of 10  -  2025-06-11 14:38:35.711761 with b: 1.368 
Run: 6 out of 10  -  2025-06-11 14:38:35.712601 with b: 1.368 
Run: 7 out of 10  -  2025-06-11 14:38:35.713434 with b: 1.368 
Run: 8 out of 10  -  2025-06-11 14:38:35.714275 with b: 1.368 
Run: 9 out of 10  -  2025-06-11 14:38:35.715106 with b: 1.368 
Run: 10 out of 10  -  2025-06-11 14:38:35.715947 with b: 1.368 

 17 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:35.716804 with b: 1.579 
Run: 2 out of 10  -  2025-06-11 14:38:35.717681 with b: 1.579 
Run: 3 out of 10  -  2025-06-11 14:38:35.718503 with b: 1.579 
Run: 4 out of 10  -  2025-06-11 14:38:35.719333 with b: 1.579 
Run: 5 out of 10  -  2025-06-11 14:38:35.72016 with b: 1.579 
Run: 6 out of 10  -  2025-06-11 14:38:35.720998 with b: 1.579 
Run: 7 out of 10  -  2025-06-11 14:38:35.721817 with b: 1.579 
Run: 8 out of 10  -  2025-06-11 14:38:35.722649 with b: 1.579 
Run: 9 out of 10  -  2025-06-11 14:38:35.723486 with b: 1.579 
Run: 10 out of 10  -  2025-06-11 14:38:35.7243 with b: 1.579 

 18 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:35.725143 with b: 1.789 
Run: 2 out of 10  -  2025-06-11 14:38:35.725972 with b: 1.789 
Run: 3 out of 10  -  2025-06-11 14:38:35.726786 with b: 1.789 
Run: 4 out of 10  -  2025-06-11 14:38:35.727618 with b: 1.789 
Run: 5 out of 10  -  2025-06-11 14:38:35.728434 with b: 1.789 
Run: 6 out of 10  -  2025-06-11 14:38:35.729517 with b: 1.789 
Run: 7 out of 10  -  2025-06-11 14:38:35.730352 with b: 1.789 
Run: 8 out of 10  -  2025-06-11 14:38:35.731191 with b: 1.789 
Run: 9 out of 10  -  2025-06-11 14:38:35.732024 with b: 1.789 
Run: 10 out of 10  -  2025-06-11 14:38:35.732852 with b: 1.789 

 19 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:35.7337 with b: 2 
Run: 2 out of 10  -  2025-06-11 14:38:35.734548 with b: 2 
Run: 3 out of 10  -  2025-06-11 14:38:35.735375 with b: 2 
Run: 4 out of 10  -  2025-06-11 14:38:35.736206 with b: 2 
Run: 5 out of 10  -  2025-06-11 14:38:35.737025 with b: 2 
Run: 6 out of 10  -  2025-06-11 14:38:35.737844 with b: 2 
Run: 7 out of 10  -  2025-06-11 14:38:35.738699 with b: 2 
Run: 8 out of 10  -  2025-06-11 14:38:35.739543 with b: 2 
Run: 9 out of 10  -  2025-06-11 14:38:35.740389 with b: 2 
Run: 10 out of 10  -  2025-06-11 14:38:35.741207 with b: 2 

 20 / 20 
---> Finished with dimension 16  and correlation 0.5 
---> Starting with dimension 64  and correlation 0.5 
Run: 1 out of 10  -  2025-06-11 14:38:35.742486 with b: -2 
Run: 2 out of 10  -  2025-06-11 14:38:35.748683 with b: -2 
Run: 3 out of 10  -  2025-06-11 14:38:35.755059 with b: -2 
Run: 4 out of 10  -  2025-06-11 14:38:35.761106 with b: -2 
Run: 5 out of 10  -  2025-06-11 14:38:35.765971 with b: -2 
Run: 6 out of 10  -  2025-06-11 14:38:35.770807 with b: -2 
Run: 7 out of 10  -  2025-06-11 14:38:35.775632 with b: -2 
Run: 8 out of 10  -  2025-06-11 14:38:35.78045 with b: -2 
Run: 9 out of 10  -  2025-06-11 14:38:35.785244 with b: -2 
Run: 10 out of 10  -  2025-06-11 14:38:35.790091 with b: -2 

 1 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:35.794843 with b: -1.789 
Run: 2 out of 10  -  2025-06-11 14:38:35.799634 with b: -1.789 
Run: 3 out of 10  -  2025-06-11 14:38:35.804416 with b: -1.789 
Run: 4 out of 10  -  2025-06-11 14:38:35.809259 with b: -1.789 
Run: 5 out of 10  -  2025-06-11 14:38:35.814039 with b: -1.789 
Run: 6 out of 10  -  2025-06-11 14:38:35.818838 with b: -1.789 
Run: 7 out of 10  -  2025-06-11 14:38:35.823625 with b: -1.789 
Run: 8 out of 10  -  2025-06-11 14:38:35.828425 with b: -1.789 
Run: 9 out of 10  -  2025-06-11 14:38:35.833237 with b: -1.789 
Run: 10 out of 10  -  2025-06-11 14:38:35.838054 with b: -1.789 

 2 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:35.842878 with b: -1.579 
Run: 2 out of 10  -  2025-06-11 14:38:35.847647 with b: -1.579 
Run: 3 out of 10  -  2025-06-11 14:38:35.852438 with b: -1.579 
Run: 4 out of 10  -  2025-06-11 14:38:35.857237 with b: -1.579 
Run: 5 out of 10  -  2025-06-11 14:38:35.862035 with b: -1.579 
Run: 6 out of 10  -  2025-06-11 14:38:35.866873 with b: -1.579 
Run: 7 out of 10  -  2025-06-11 14:38:35.871711 with b: -1.579 
Run: 8 out of 10  -  2025-06-11 14:38:35.876552 with b: -1.579 
Run: 9 out of 10  -  2025-06-11 14:38:35.881428 with b: -1.579 
Run: 10 out of 10  -  2025-06-11 14:38:35.886265 with b: -1.579 

 3 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:35.891098 with b: -1.368 
Run: 2 out of 10  -  2025-06-11 14:38:35.895902 with b: -1.368 
Run: 3 out of 10  -  2025-06-11 14:38:35.900746 with b: -1.368 
Run: 4 out of 10  -  2025-06-11 14:38:35.90557 with b: -1.368 
Run: 5 out of 10  -  2025-06-11 14:38:35.910364 with b: -1.368 
Run: 6 out of 10  -  2025-06-11 14:38:35.915183 with b: -1.368 
Run: 7 out of 10  -  2025-06-11 14:38:35.919976 with b: -1.368 
Run: 8 out of 10  -  2025-06-11 14:38:35.924786 with b: -1.368 
Run: 9 out of 10  -  2025-06-11 14:38:35.929664 with b: -1.368 
Run: 10 out of 10  -  2025-06-11 14:38:35.950052 with b: -1.368 

 4 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:35.957406 with b: -1.158 
Run: 2 out of 10  -  2025-06-11 14:38:35.96364 with b: -1.158 
Run: 3 out of 10  -  2025-06-11 14:38:35.969938 with b: -1.158 
Run: 4 out of 10  -  2025-06-11 14:38:35.976215 with b: -1.158 
Run: 5 out of 10  -  2025-06-11 14:38:35.982497 with b: -1.158 
Run: 6 out of 10  -  2025-06-11 14:38:35.988828 with b: -1.158 
Run: 7 out of 10  -  2025-06-11 14:38:35.995175 with b: -1.158 
Run: 8 out of 10  -  2025-06-11 14:38:36.001502 with b: -1.158 
Run: 9 out of 10  -  2025-06-11 14:38:36.007822 with b: -1.158 
Run: 10 out of 10  -  2025-06-11 14:38:36.014138 with b: -1.158 

 5 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:36.020452 with b: -0.947 
Run: 2 out of 10  -  2025-06-11 14:38:36.026811 with b: -0.947 
Run: 3 out of 10  -  2025-06-11 14:38:36.032234 with b: -0.947 
Run: 4 out of 10  -  2025-06-11 14:38:36.037128 with b: -0.947 
Run: 5 out of 10  -  2025-06-11 14:38:36.042146 with b: -0.947 
Run: 6 out of 10  -  2025-06-11 14:38:36.047213 with b: -0.947 
Run: 7 out of 10  -  2025-06-11 14:38:36.052212 with b: -0.947 
Run: 8 out of 10  -  2025-06-11 14:38:36.057216 with b: -0.947 
Run: 9 out of 10  -  2025-06-11 14:38:36.062128 with b: -0.947 
Run: 10 out of 10  -  2025-06-11 14:38:36.067073 with b: -0.947 

 6 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:36.072271 with b: -0.737 
Run: 2 out of 10  -  2025-06-11 14:38:36.077227 with b: -0.737 
Run: 3 out of 10  -  2025-06-11 14:38:36.082209 with b: -0.737 
Run: 4 out of 10  -  2025-06-11 14:38:36.087073 with b: -0.737 
Run: 5 out of 10  -  2025-06-11 14:38:36.092048 with b: -0.737 
Run: 6 out of 10  -  2025-06-11 14:38:36.102016 with b: -0.737 
Run: 7 out of 10  -  2025-06-11 14:38:36.106991 with b: -0.737 
Run: 8 out of 10  -  2025-06-11 14:38:36.111967 with b: -0.737 
Run: 9 out of 10  -  2025-06-11 14:38:36.116901 with b: -0.737 
Run: 10 out of 10  -  2025-06-11 14:38:36.121879 with b: -0.737 

 7 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:36.126897 with b: -0.526 
Run: 2 out of 10  -  2025-06-11 14:38:36.131844 with b: -0.526 
Run: 3 out of 10  -  2025-06-11 14:38:36.136808 with b: -0.526 
Run: 4 out of 10  -  2025-06-11 14:38:36.141716 with b: -0.526 
Run: 5 out of 10  -  2025-06-11 14:38:36.146584 with b: -0.526 
Run: 6 out of 10  -  2025-06-11 14:38:36.151438 with b: -0.526 
Run: 7 out of 10  -  2025-06-11 14:38:36.204962 with b: -0.526 
Run: 8 out of 10  -  2025-06-11 14:38:36.215677 with b: -0.526 
Run: 9 out of 10  -  2025-06-11 14:38:36.263363 with b: -0.526 
Run: 10 out of 10  -  2025-06-11 14:38:36.272537 with b: -0.526 

 8 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:36.279464 with b: -0.316 
Run: 2 out of 10  -  2025-06-11 14:38:36.285426 with b: -0.316 
Run: 3 out of 10  -  2025-06-11 14:38:36.290289 with b: -0.316 
Run: 4 out of 10  -  2025-06-11 14:38:36.295107 with b: -0.316 
Run: 5 out of 10  -  2025-06-11 14:38:36.299953 with b: -0.316 
Run: 6 out of 10  -  2025-06-11 14:38:36.304752 with b: -0.316 
Run: 7 out of 10  -  2025-06-11 14:38:36.309503 with b: -0.316 
Run: 8 out of 10  -  2025-06-11 14:38:36.314276 with b: -0.316 
Run: 9 out of 10  -  2025-06-11 14:38:36.319074 with b: -0.316 
Run: 10 out of 10  -  2025-06-11 14:38:36.323854 with b: -0.316 

 9 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:36.328679 with b: -0.105 
Run: 2 out of 10  -  2025-06-11 14:38:36.33402 with b: -0.105 
Run: 3 out of 10  -  2025-06-11 14:38:36.339378 with b: -0.105 
Run: 4 out of 10  -  2025-06-11 14:38:36.344736 with b: -0.105 
Run: 5 out of 10  -  2025-06-11 14:38:36.350164 with b: -0.105 
Run: 6 out of 10  -  2025-06-11 14:38:36.355577 with b: -0.105 
Run: 7 out of 10  -  2025-06-11 14:38:36.360971 with b: -0.105 
Run: 8 out of 10  -  2025-06-11 14:38:36.366359 with b: -0.105 
Run: 9 out of 10  -  2025-06-11 14:38:36.371771 with b: -0.105 
Run: 10 out of 10  -  2025-06-11 14:38:36.377106 with b: -0.105 

 10 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:36.382503 with b: 0.105 
Run: 2 out of 10  -  2025-06-11 14:38:36.387814 with b: 0.105 
Run: 3 out of 10  -  2025-06-11 14:38:36.393138 with b: 0.105 
Run: 4 out of 10  -  2025-06-11 14:38:36.398507 with b: 0.105 
Run: 5 out of 10  -  2025-06-11 14:38:36.40388 with b: 0.105 
Run: 6 out of 10  -  2025-06-11 14:38:36.409328 with b: 0.105 
Run: 7 out of 10  -  2025-06-11 14:38:36.41471 with b: 0.105 
Run: 8 out of 10  -  2025-06-11 14:38:36.436708 with b: 0.105 
Run: 9 out of 10  -  2025-06-11 14:38:36.446039 with b: 0.105 
Run: 10 out of 10  -  2025-06-11 14:38:36.452969 with b: 0.105 

 11 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:36.459916 with b: 0.316 
Run: 2 out of 10  -  2025-06-11 14:38:36.466894 with b: 0.316 
Run: 3 out of 10  -  2025-06-11 14:38:36.473813 with b: 0.316 
Run: 4 out of 10  -  2025-06-11 14:38:36.480752 with b: 0.316 
Run: 5 out of 10  -  2025-06-11 14:38:36.48771 with b: 0.316 
Run: 6 out of 10  -  2025-06-11 14:38:36.494682 with b: 0.316 
Run: 7 out of 10  -  2025-06-11 14:38:36.501696 with b: 0.316 
Run: 8 out of 10  -  2025-06-11 14:38:36.508726 with b: 0.316 
Run: 9 out of 10  -  2025-06-11 14:38:36.515946 with b: 0.316 
Run: 10 out of 10  -  2025-06-11 14:38:36.521386 with b: 0.316 

 12 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:36.526749 with b: 0.526 
Run: 2 out of 10  -  2025-06-11 14:38:36.532142 with b: 0.526 
Run: 3 out of 10  -  2025-06-11 14:38:36.537575 with b: 0.526 
Run: 4 out of 10  -  2025-06-11 14:38:36.54297 with b: 0.526 
Run: 5 out of 10  -  2025-06-11 14:38:36.548368 with b: 0.526 
Run: 6 out of 10  -  2025-06-11 14:38:36.553746 with b: 0.526 
Run: 7 out of 10  -  2025-06-11 14:38:36.55913 with b: 0.526 
Run: 8 out of 10  -  2025-06-11 14:38:36.564536 with b: 0.526 
Run: 9 out of 10  -  2025-06-11 14:38:36.569906 with b: 0.526 
Run: 10 out of 10  -  2025-06-11 14:38:36.575314 with b: 0.526 

 13 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:36.580728 with b: 0.737 
Run: 2 out of 10  -  2025-06-11 14:38:36.586065 with b: 0.737 
Run: 3 out of 10  -  2025-06-11 14:38:36.59139 with b: 0.737 
Run: 4 out of 10  -  2025-06-11 14:38:36.596778 with b: 0.737 
Run: 5 out of 10  -  2025-06-11 14:38:36.602129 with b: 0.737 
Run: 6 out of 10  -  2025-06-11 14:38:36.607504 with b: 0.737 
Run: 7 out of 10  -  2025-06-11 14:38:36.61287 with b: 0.737 
Run: 8 out of 10  -  2025-06-11 14:38:36.618234 with b: 0.737 
Run: 9 out of 10  -  2025-06-11 14:38:36.62359 with b: 0.737 
Run: 10 out of 10  -  2025-06-11 14:38:36.628945 with b: 0.737 

 14 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:36.634329 with b: 0.947 
Run: 2 out of 10  -  2025-06-11 14:38:36.653946 with b: 0.947 
Run: 3 out of 10  -  2025-06-11 14:38:36.66196 with b: 0.947 
Run: 4 out of 10  -  2025-06-11 14:38:36.668968 with b: 0.947 
Run: 5 out of 10  -  2025-06-11 14:38:36.675948 with b: 0.947 
Run: 6 out of 10  -  2025-06-11 14:38:36.682945 with b: 0.947 
Run: 7 out of 10  -  2025-06-11 14:38:36.689914 with b: 0.947 
Run: 8 out of 10  -  2025-06-11 14:38:36.696875 with b: 0.947 
Run: 9 out of 10  -  2025-06-11 14:38:36.703864 with b: 0.947 
Run: 10 out of 10  -  2025-06-11 14:38:36.710861 with b: 0.947 

 15 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:36.717883 with b: 1.158 
Run: 2 out of 10  -  2025-06-11 14:38:36.724145 with b: 1.158 
Run: 3 out of 10  -  2025-06-11 14:38:36.73045 with b: 1.158 
Run: 4 out of 10  -  2025-06-11 14:38:36.735931 with b: 1.158 
Run: 5 out of 10  -  2025-06-11 14:38:36.740803 with b: 1.158 
Run: 6 out of 10  -  2025-06-11 14:38:36.745676 with b: 1.158 
Run: 7 out of 10  -  2025-06-11 14:38:36.750552 with b: 1.158 
Run: 8 out of 10  -  2025-06-11 14:38:36.755406 with b: 1.158 
Run: 9 out of 10  -  2025-06-11 14:38:36.760281 with b: 1.158 
Run: 10 out of 10  -  2025-06-11 14:38:36.765197 with b: 1.158 

 16 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:36.770121 with b: 1.368 
Run: 2 out of 10  -  2025-06-11 14:38:36.775017 with b: 1.368 
Run: 3 out of 10  -  2025-06-11 14:38:36.779876 with b: 1.368 
Run: 4 out of 10  -  2025-06-11 14:38:36.784704 with b: 1.368 
Run: 5 out of 10  -  2025-06-11 14:38:36.789506 with b: 1.368 
Run: 6 out of 10  -  2025-06-11 14:38:36.794305 with b: 1.368 
Run: 7 out of 10  -  2025-06-11 14:38:36.799112 with b: 1.368 
Run: 8 out of 10  -  2025-06-11 14:38:36.803934 with b: 1.368 
Run: 9 out of 10  -  2025-06-11 14:38:36.808742 with b: 1.368 
Run: 10 out of 10  -  2025-06-11 14:38:36.813554 with b: 1.368 

 17 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:36.818412 with b: 1.579 
Run: 2 out of 10  -  2025-06-11 14:38:36.823299 with b: 1.579 
Run: 3 out of 10  -  2025-06-11 14:38:36.828082 with b: 1.579 
Run: 4 out of 10  -  2025-06-11 14:38:36.832948 with b: 1.579 
Run: 5 out of 10  -  2025-06-11 14:38:36.837842 with b: 1.579 
Run: 6 out of 10  -  2025-06-11 14:38:36.842693 with b: 1.579 
Run: 7 out of 10  -  2025-06-11 14:38:36.847561 with b: 1.579 
Run: 8 out of 10  -  2025-06-11 14:38:36.852456 with b: 1.579 
Run: 9 out of 10  -  2025-06-11 14:38:36.857325 with b: 1.579 
Run: 10 out of 10  -  2025-06-11 14:38:36.862204 with b: 1.579 

 18 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:36.867073 with b: 1.789 
Run: 2 out of 10  -  2025-06-11 14:38:36.871969 with b: 1.789 
Run: 3 out of 10  -  2025-06-11 14:38:36.876819 with b: 1.789 
Run: 4 out of 10  -  2025-06-11 14:38:36.881688 with b: 1.789 
Run: 5 out of 10  -  2025-06-11 14:38:36.886539 with b: 1.789 
Run: 6 out of 10  -  2025-06-11 14:38:36.891392 with b: 1.789 
Run: 7 out of 10  -  2025-06-11 14:38:36.896319 with b: 1.789 
Run: 8 out of 10  -  2025-06-11 14:38:36.901254 with b: 1.789 
Run: 9 out of 10  -  2025-06-11 14:38:36.919323 with b: 1.789 
Run: 10 out of 10  -  2025-06-11 14:38:36.926565 with b: 1.789 

 19 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:36.932966 with b: 2 
Run: 2 out of 10  -  2025-06-11 14:38:36.939323 with b: 2 
Run: 3 out of 10  -  2025-06-11 14:38:36.94585 with b: 2 
Run: 4 out of 10  -  2025-06-11 14:38:36.952504 with b: 2 
Run: 5 out of 10  -  2025-06-11 14:38:36.958916 with b: 2 
Run: 6 out of 10  -  2025-06-11 14:38:36.965437 with b: 2 
Run: 7 out of 10  -  2025-06-11 14:38:36.971889 with b: 2 
Run: 8 out of 10  -  2025-06-11 14:38:36.97839 with b: 2 
Run: 9 out of 10  -  2025-06-11 14:38:36.992297 with b: 2 
Run: 10 out of 10  -  2025-06-11 14:38:36.998619 with b: 2 

 20 / 20 
---> Finished with dimension 64  and correlation 0.5 
---> Starting with dimension 128  and correlation 0.5 
Run: 1 out of 10  -  2025-06-11 14:38:37.003988 with b: -2 
Run: 2 out of 10  -  2025-06-11 14:38:37.071487 with b: -2 
Run: 3 out of 10  -  2025-06-11 14:38:37.252118 with b: -2 
Run: 4 out of 10  -  2025-06-11 14:38:37.329071 with b: -2 
Run: 5 out of 10  -  2025-06-11 14:38:37.391778 with b: -2 
Run: 6 out of 10  -  2025-06-11 14:38:37.469348 with b: -2 
Run: 7 out of 10  -  2025-06-11 14:38:37.532483 with b: -2 
Run: 8 out of 10  -  2025-06-11 14:38:37.59506 with b: -2 
Run: 9 out of 10  -  2025-06-11 14:38:37.672073 with b: -2 
Run: 10 out of 10  -  2025-06-11 14:38:37.735701 with b: -2 

 1 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:37.800329 with b: -1.789 
Run: 2 out of 10  -  2025-06-11 14:38:37.865344 with b: -1.789 
Run: 3 out of 10  -  2025-06-11 14:38:37.930767 with b: -1.789 
Run: 4 out of 10  -  2025-06-11 14:38:38.008991 with b: -1.789 
Run: 5 out of 10  -  2025-06-11 14:38:38.075119 with b: -1.789 
Run: 6 out of 10  -  2025-06-11 14:38:38.179657 with b: -1.789 
Run: 7 out of 10  -  2025-06-11 14:38:38.312996 with b: -1.789 
Run: 8 out of 10  -  2025-06-11 14:38:38.374261 with b: -1.789 
Run: 9 out of 10  -  2025-06-11 14:38:38.451201 with b: -1.789 
Run: 10 out of 10  -  2025-06-11 14:38:38.515048 with b: -1.789 

 2 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:38.577352 with b: -1.579 
Run: 2 out of 10  -  2025-06-11 14:38:38.6641 with b: -1.579 
Run: 3 out of 10  -  2025-06-11 14:38:38.736399 with b: -1.579 
Run: 4 out of 10  -  2025-06-11 14:38:38.812985 with b: -1.579 
Run: 5 out of 10  -  2025-06-11 14:38:38.886708 with b: -1.579 
Run: 6 out of 10  -  2025-06-11 14:38:38.973881 with b: -1.579 
Run: 7 out of 10  -  2025-06-11 14:38:39.048198 with b: -1.579 
Run: 8 out of 10  -  2025-06-11 14:38:39.134206 with b: -1.579 
Run: 9 out of 10  -  2025-06-11 14:38:39.369624 with b: -1.579 
Run: 10 out of 10  -  2025-06-11 14:38:39.457467 with b: -1.579 

 3 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:39.529098 with b: -1.368 
Run: 2 out of 10  -  2025-06-11 14:38:39.599952 with b: -1.368 
Run: 3 out of 10  -  2025-06-11 14:38:39.684368 with b: -1.368 
Run: 4 out of 10  -  2025-06-11 14:38:39.755411 with b: -1.368 
Run: 5 out of 10  -  2025-06-11 14:38:39.826792 with b: -1.368 
Run: 6 out of 10  -  2025-06-11 14:38:39.900237 with b: -1.368 
Run: 7 out of 10  -  2025-06-11 14:38:39.984356 with b: -1.368 
Run: 8 out of 10  -  2025-06-11 14:38:40.058042 with b: -1.368 
Run: 9 out of 10  -  2025-06-11 14:38:40.143351 with b: -1.368 
Run: 10 out of 10  -  2025-06-11 14:38:40.382949 with b: -1.368 

 4 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:40.472936 with b: -1.158 
Run: 2 out of 10  -  2025-06-11 14:38:40.543949 with b: -1.158 
Run: 3 out of 10  -  2025-06-11 14:38:40.614655 with b: -1.158 
Run: 4 out of 10  -  2025-06-11 14:38:40.696861 with b: -1.158 
Run: 5 out of 10  -  2025-06-11 14:38:40.768965 with b: -1.158 
Run: 6 out of 10  -  2025-06-11 14:38:40.842824 with b: -1.158 
Run: 7 out of 10  -  2025-06-11 14:38:40.915684 with b: -1.158 
Run: 8 out of 10  -  2025-06-11 14:38:41.000303 with b: -1.158 
Run: 9 out of 10  -  2025-06-11 14:38:41.07452 with b: -1.158 
Run: 10 out of 10  -  2025-06-11 14:38:41.172033 with b: -1.158 

 5 / 20 
Run: 1 out of 10  -  2025-06-11 14:38:41.244213 with b: -0.947 
Run: 2 out of 10  -  2025-06-11 14:38:41.317366 with b: -0.947 
Run: 3 out of 10  -  2025-06-11 14:38:41.407673 with b: -0.947 
Run: 4 out of 10  -  2025-06-11 14:38:41.480341 with b: -0.947 
Run: 5 out of 10  -  2025-06-11 14:38:41.555519 with b: -0.947 
Run: 6 out of 10  -  2025-06-11 14:38:41.628431 with b: -0.947 
Run: 7 out of 10  -  2025-06-11 14:38:41.713936 with b: -0.947 
Run: 8 out of 10  -  2025-06-11 14:38:41.786589 with b: -0.947 
Run: 9 out of 10  -  2025-06-11 14:38:41.860089 with b: -0.947 
